name,hab
Água Verde,19.346
Badenfurt,9.838
Boa Vista,1.895
Bom Retiro,1.006
Centro,4.042
Glória,5.302
Salto,5.132
Escola Agrícola,14.423
Fidélis,6.246
Fortaleza,15.363
Fortaleza Alta,5.855
Garcia,15.612
Itoupava Central,38.048
Itoupava Norte,16.957
Itoupava Seca,6.581
Itoupavazinha,20.779
Jardim Blumenau,4.0438
Nova Esperança,4.030
Passo Manso,12.086
Ponta Aguda,10.158
Progresso,14.704
Ribeirão Fresco,1.732
Salto do Norte,9.586
Salto Weissbach,7.376
Testo Salto,8.824
Tribess,9.494
Valparaíso,5.041
Velha,19.374
Velha Central,22.783
Velha Grande,4.183
Victor Konder,6.567
Vila Formosa,754
Vila Itoupava,1.972
Vila Nova,11.830
Vorstadt,4.965
