name,y,x,is_public,label
EBM Alberto Stein,-26.91284688,-49.11288907,yes,ebm_alberto_stein
EBM Almirante Tamandaré,-26.90249437,-49.04887559,yes,ebm_almirante_tamandare
EBM Anita Garibaldi,-26.82379946,-49.08908667,yes,ebm_anita_garibaldi
EBM Bilíngue Annemarie Techentin,-26.91543381,-49.15018425,yes,ebm_annemarie_techentin
EBM Duque de Caxias,-26.76669104,-49.07981115,yes,ebm_duque_de_caxias
EBM Bilíngue Gustavo Richard,-26.89119058,-49.05600887,yes,ebm_gustavo_richard
EBM Bilíngue Olga Rutzen,-26.86052956,-49.09656611,yes,ebm_olga_rutzen
EBM Bilíngue Pastor Faulhaber,-26.92633924,-49.05065442,yes,ebm_pastor_faulhaber
EBM Bilíngue Patrícia Helena F. Pegorim,-26.85224463,-49.04706055,yes,ebm_patricia_helena_pegorim
EBM Bilíngue Prof. Fernando Ostermann,-26.89895527,-49.06536992,yes,ebm_fernando_ostermann
EBM Bilíngue Prof. João Joaquim Fronza,-26.85922946,-49.13789115,yes,ebm_joao_joaquim_fronza
EBM Bilíngue Prof. Oscar Unbehaun,-26.91071634,-49.12303615,yes,ebm_oscar_unbehaun
EBM Bilíngue Prof. Rodolfo Hollenweger,-26.83051649,-49.06154503,yes,ebm_rodolfo_hollenweger
EBM Bilíngue Profª. Alice Thiele,-26.93812378,-49.05657777,yes,ebm_alice_thiele
EBM Bilíngue Profª. Helena M. N. Winckler,-26.93211618,-49.10501587,yes,ebm_helena_winckler
EBM Bilíngue Profª. Hella Altenburg,-26.88689305,-49.10485379,yes,ebm_hella_altenburg
EBM Bilíngue Profª. Nemésia Margarida,-26.87928578,-49.16869966,yes,ebm_nemesia_margarida
EBM Bilíngue Profª. Norma Dignart Huber,-26.90360311,-49.10335273,yes,ebm_norma_dignart_huber
EBM Bilíngue Tiradentes e Profª Júlia Strzalkowska,-26.93789689,-49.06334973,yes,ebm_tiradentes_julia_strzalkowska
EBM Conselheiro Mafra,-26.95144399,-49.13320885,yes,ebm_conselheiro_mafra
EBM Felipe Schmidt,-26.85510872,-49.11556305,yes,ebm_felipe_schmidt
EBM Francisco Lanser,-26.87245506,-49.04975539,yes,ebm_francisco_lanser
EBM General Lúcio Esteves,-26.89243875,-49.09852939,yes,ebm_lucio_esteves
EBM Henrique Alfarth,-26.97143317,-49.09185988,yes,ebm_henrique_alfarth
EBM Lauro Müller,-26.88481902,-49.14020175,yes,ebm_lauro_muller
EBM Leoberto Leal,-26.86585133,-49.12066496,yes,ebm_leoberto_leal
EBM Lore Sita Bollmann,-26.80547526,-49.08286173,yes,ebm_lore_sita_bollmann
EBM Machado de Assis,-26.89243723,-49.08585542,yes,ebm_machado_de_assis
EBM Paulina Wagner,-26.87793402,-49.13719358,yes,ebm_paulina_wagner
EBM Pedro I,-26.85374261,-49.08814002,yes,ebm_pedro_1
EBM Pedro II,-26.98657537,-49.08315257,yes,ebm_pedro_2
EBM Prof. Friedrich K. Kemmelmeier,-26.79682652,-49.10638692,yes,ebm_friedrich_kemmelmeier
EBM Profª. Adelaide Starke,-26.88840628,-49.06657586,yes,ebm_adelaide_starke
EBM Profª. Zulma Souza da Silva,-26.92361546,-49.12284987,yes,ebm_zulma_souza_silva
EBM Quintino Bocaiúva,-26.85626752,-49.15516767,yes,ebm_quintino_bocaiuva
EBM Vidal Ramos,-26.90184135,-49.04181385,yes,ebm_vidal_ramos
EBM Visconde de Taunay,-26.83363518,-49.10820852,yes,ebm_visconde_taunay
EBM Wilhelm Theodor Schürmann,-26.83435275,-49.08356542,yes,ebm_wilhelm_theodor_schurmann
EIM Bilíngue Alves Ramos,-26.76497649,-49.11157042,yes,eim_alves_ramos
EIM Capitão Euclides de Castro,-27.01359803,-49.06822495,yes,eim_euclides_castro
EIM Dr. Blumenau,-26.78841038,-49.05965265,yes,eim_dr_blumenau
EIM Willy Müller,-26.71633759,-49.04884759,yes,eim_willy_muller
EM Alwino Dorow,-26.85185066,-49.05624889,yes,em_alwino_dorow
EM Bilíngue Erich Klabunde,-26.69038813,-49.07639257,yes,em_erich_klabunde
EM Carlos Manske,-26.65629685,-49.09869468,yes,em_carlos_manske
EM Frederico Sievert,-26.72359114,-49.10199549,yes,em_frederico_sievert
Ab Kids Educação Infantil,-26.90828648,-49.08959529,no,prv_ab_kids
Acesso Educação,-26.91836826,-49.06049085,no,prv_acesso
Alecrim Dourado Educação Infantil,-26.85208057,-49.12669142,no,prv_alecrim_dourado
Alfa Rede de Ensino,-26.92572023,-49.12193129,no,prv_alfa_rede_de_ensino
Anjo de Cristal,-26.90464905,-49.12872735,no,prv_anjo_de_cristal
Anjo Protetor Jardim de Infância Me,-26.91822125,-49.08513797,no,prv_anjo_protetor
Anjos da Terra Espaço Educ Infantil,-26.91205455,-49.09272406,no,prv_anjos_da_terra
Associação Educ e Assistencial Shalom,-26.93101798,-49.05499298,no,prv_educ_assistencial_shalom
Associação Assistencial Lar Betania,-26.90177594,-49.04743849,no,prv_lar_betania
Associação Assistencial Lar Betania Unidade Lar Bethel,-26.94948368,-49.13319274,no,prv_lar_betania_bethel
Carinho de Mãe,-26.89333614,-49.08525515,no,prv_carinho_de_mae
Centro de Educação Infantil Bambolé,-26.89106721,-49.09097822,no,prv_cei_bambole
Centro de Educação Infantil Cantinho do Bom Pastor,-26.91579182,-49.10983078,no,prv_cei_cantinho_bom_pastor
Centro de Educação Infantil Carinha de Anjo,-26.92159094,-49.10816912,no,prv_cei_carinha_de_anjo
Centro de Ed Amiguinho Feliz,-26.90006609,-49.09809726,no,prv_cei_amiguinho_feliz
Centro de Educação Carinho de Mãe - Unidade 2,-26.89343573,-49.08476411,no,prv_ce_carinho_de_mae_unidade_2
Centro de Educação Infantil Decolar,-26.92909804,-49.13418047,no,prv_cei_decolar
Centro de Educação Infantil Encanto e Magia,-26.96401585,-49.06292297,no,prv_cei_encanto_magia
Centro de Educação Infantil Fruto do Amanhã,-26.86167585,-49.05415385,no,prv_cei_fruto_amanha
Centro de Educação Infantil Gente Miúda,-26.92164184,-49.10172566,no,prv_cei_gente_miuda
Centro de Educação Infantil Pé de Moleque,-26.90565028,-49.08863375,no,prv_cei_pe_de_moleque
Centro de Educação Infantil Pequenas Estrelas,-26.80393317,-49.08530911,no,prv_cei_pequenas_estrelas
Centro de Educação Infantil Saberativo,-26.89176578,-49.09669707,no,prv_cei_saberativo
Centro Educ Motiva Ação Infantil,-26.90724307,-49.08380314,no,prv_ce_motiva_acao_infantil
Centro Educacional Além do Arco-íris,-26.77140364,-49.07852422,no,prv_ce_alem_do_arco_iris
Centro Educacional Ninho do Saber,-26.91763237,-49.12461334,no,prv_ce_ninho_saber
Centro Educacional Recriare,-26.82570906,-49.08640101,no,prv_ce_recriare
Centro Educacional Valentino,-26.84905847,-49.08268972,no,prv_ce_valentino
Coc Blumenau,-26.92316762,-49.06044872,no,prv_coc_blumenau
Colégio Adventista de Blumenau,-26.89760122,-49.07916229,no,prv_colegio_adventista_blumenau
Colégio Bom Jesus Santo Antonio,-26.91928464,-49.06706767,no,prv_colegio_bom_jesus_santo_antonio
Colégio Energia,-26.91785351,-49.06418509,no,prv_colegio_energia
Colégio Excelsior,-26.88826608,-49.08069607,no,prv_colegio_excelsior
Colégio Menino Jesus,-26.92467747,-49.12213751,no,prv_colegio_menino_jesus
Colégio Sagrada Família,-26.92276471,-49.06552645,no,prv_colegio_sagrada_familia
Colégio Visão Blumenau,-26.92507818,-49.07445123,no,prv_colegio_visao_blumenau
Cooperativa de Educação de Professores e Especialistas,-26.88652942,-49.08328088,no,prv_cooperativa_professores_especialistas
Creche e Jardim Meninos e Meninas,-26.88725899,-49.08325116,no,prv_creche_meninos_meninas
Creche Pequena Sereia,-26.91206987,-49.07754243,no,prv_creche_pequena_sereia
Creche Raio de Luz,-26.86441948,-49.06033873,no,prv_creche_raio_de_luz
Doce Infancia Educação Infantil,-26.93183129,-49.06055803,no,prv_doce_infancia
Dual International School,-26.92668387,-49.06442433,no,prv_dual_international_school
Educare Centro de Educação Infantil,-26.82057515,-49.08964453,no,prv_cei_educare
Escola Barão do Rio Branco,-26.92423828,-49.06247182,no,prv_escola_barao_rio_branco
Escola Especial Profª Estella M Caropreso,-26.90143965,-49.09032687,no,prv_escola_especial_estella_caropreso
Escola de Ed Infantil Aplicacao,-26.88850714,-49.06672792,no,prv_ei_aplicacao
Escola de Educação Infantil Algodao Doce,-26.87963493,-49.06102162,no,prv_ei_algodao_doce
Escola de Educação Infantil Barni e Furlan,-26.91659071,-49.06478386,no,prv_ei_barni_furlan
Escola de Educação Infantil Doce Encanto,-26.94859699,-49.07616489,no,prv_ei_doce_encanto
Escola de Educação Infantil Encantar,-26.91280063,-49.11164826,no,prv_ei_encantar
Escola de Educação Infantil Mundo da Magia,-26.87281083,-49.11238691,no,prv_ei_mundo_da_magia
Escola de Educação Infantil Mundo Mágico,-26.93766861,-49.06630251,no,prv_ei_mundo_magico
Escola Expressao,-26.89939408,-49.08107109,no,prv_escola_expressao
Escola Inf Espaço Ser Criança,-26.90670324,-49.06759182,no,prv_ei_espaco_ser_crianca
Escola Infantil Doce Lar,-26.93954837,-49.06658742,no,prv_ei_doce_lar
Escola Infantil Happy Kids,-26.88810959,-49.09642999,no,prv_ei_happy_kids
Escola Infantil Semear Amor,-26.92175953,-49.10512821,no,prv_ei_semear_amor
Escola Infantil Ser Brincante,-26.88674565,-49.11365443,no,prv_ei_ser_brincante
Escola Pequenos Anjos,-26.92465491,-49.06175463,no,prv_ei_pequenos_anjos
Escola Politecnica de Inovacao e Conhecimento Aplicado,-26.87606417,-49.11622723,no,prv_escola_politecnica_inovacao
Espaço de Educação Infantil Contos e Cores,-26.91987037,-49.09259715,no,prv_ee_contos_cores
Espaço Educacional Aquarela,-26.87351957,-49.08754454,no,prv_ee_aquarela
Espaço Educacional Infantil Tindolele,-26.93270535,-49.06505643,no,prv_ee_tindolele
Faculdade de Tecnologia Senac Blumenau,-26.91551964,-49.06449023,no,prv_fac_senac_blumenau
Instituicao Espaço Infantil Eureka,-26.88042118,-49.08705578,no,prv_espaco_infantil_eureka
Instituto Cad,-26.92085728,-49.05780052,no,prv_inst_cad
Instituto Mágico da Aprendizagem,-26.93864786,-49.06577453,no,prv_inst_magico_aprendizagem
Instituto Tecnologico Assessoritec,-26.82022908,-49.08904205,no,prv_inst_tecnologico_assessoritec
Jardim de Infancia Tia Nana,-26.90644827,-49.14331693,no,prv_ji_tia_nana
Jardim de Infancia Tia Nana II,-26.89802034,-49.09589241,no,prv_ji_tia_nana_2
Lumiere Espaço Educacional Infantil,-26.93152441,-49.06479973,no,prv_ee_lumiere
Nucleo de Estudo Sistemicos,-26.87991457,-49.08534795,no,prv_nucleo_estudos_sistemicos
O Ninho Espaço Educacional,-26.91773125,-49.09695658,no,prv_ee_o_ninho
Olhar Educação,-26.91787802,-49.06423503,no,prv_olhar_educacao
Osc São Roque Centro de Educação Infanto Juvenil I São João,-26.89012101,-49.07240099,no,prv_osc_sao_roque_sao_joao
Paraiso da Criança,-26.95189405,-49.06958046,no,prv_paraiso_da_crianca
Princesa Isabel Educação Infantil Unidade Escola Agricola,-26.89361308,-49.09862515,no,prv_princesa_isabel_escola_agricola
Princesa Isabel Educação Infantil Unidade Itoupava Seca,-26.88802361,-49.08642272,no,prv_princesa_isabel_itoupava_seca
Senai Sc - Blumenau,-26.90656939,-49.07557124,no,prv_senai_blumenau
Sesc - Centro de Educação Infantil,-26.91608903,-49.06428553,no,prv_sesc_cei
Sesi Sc - Blumenau II,-26.90654287,-49.07544764,no,prv_sesi_blumenau_2
Sociedade Beneficente Arnold Hadlich,-26.92480895,-49.12143952,no,prv_sociedade_arnold_hadlich
Spazio Bambini Centro de Desenv Infantil,-26.91071738,-49.07405303,no,prv_spazio_bambini
Uniao Crista Associação Social e Educacional Bom Amigo,-26.88997409,-49.11151565,no,prv_uniao_crista_bom_amigo
Yellow Tree Escola Infantil Me,-26.89416789,-49.08582052,no,prv_yellow_tree_me
